,Delta,XIRR,DD,CAR/MDD,%
43,55,0.13192368288688033,-0.07108242390191422,1.855925496701129,175.0
44,55,0.1223185328682576,-0.07394937971133708,1.6540846366221122,200.0
45,60,0.11367294720290368,-0.08121052949016738,1.3997316347588487,100.0
46,60,0.11568769634113094,-0.07550974974466174,1.5320895213178698,125.0
47,60,0.12072805328086159,-0.07832263356836733,1.5414197375715009,150.0
48,60,0.12333966858810291,-0.07144862131655771,1.726270798727362,175.0
49,60,0.12285100969904199,-0.0826922711575192,1.485640773670674,200.0
50,65,0.12022515263334438,-0.07011127560595443,1.7147762837613223,100.0
51,65,0.11898641376742637,-0.06520839798581357,1.8247099674694123,125.0
52,65,0.11262597795662065,-0.06898570419557404,1.6325988010113908,150.0
53,65,0.12643612281312833,-0.06644716565070741,1.9028068627902757,175.0
54,65,0.12256695306683718,-0.07041581241274808,1.7406168993464266,200.0
55,70,0.10844792427835066,-0.06916621940300238,1.5679319357686785,100.0
56,70,0.11646274134959675,-0.06447125167217616,1.8064290413002568,125.0
57,70,0.11357732073121914,-0.0736184810273326,1.5427827244771715,150.0
58,70,0.11527668886080863,-0.07348039855545396,1.5688087044575836,175.0
59,70,0.10033261184182492,-0.07433401234543113,1.3497537490049367,200.0
60,75,0.1093194529075293,-0.07389904828609639,1.4793079943912757,100.0
61,75,0.10530375344908208,-0.06870719377766277,1.5326452393012322,125.0
62,75,0.09732649886460172,-0.07288570303008612,1.3353304532773294,150.0
63,75,0.08931350956819632,-0.07879670924194626,1.1334675067959767,175.0
64,75,0.08115311862304989,-0.0916586662253942,0.8853840227555729,200.0
65,80,0.10034495059058617,-0.046806938342268234,2.14380504567143,100.0
66,80,0.09041168501533933,-0.05273691891743215,1.7143907317925207,125.0
67,80,0.07159423425617448,-0.07222929648354792,0.9912076919160068,150.0
68,80,0.06729118546451063,-0.06619247965360531,1.0165986501284587,175.0
69,80,0.05677214212810379,-0.08965760083284224,0.6332105878446362,200.0
70,85,0.09623495616769873,-0.052767718572167666,1.8237467673741319,100.0
71,85,0.07625471236609983,-0.048215092302551055,1.581552761272329,125.0
72,85,0.06629349971779351,-0.05307629384814594,1.249022772906162,150.0
73,85,0.05019595324001539,-0.05235867505610481,0.9586941072559235,175.0
74,85,0.04029606339574863,-0.0490199013415028,0.8220347714496904,200.0
75,90,0.07229946729005889,-0.055574648004665494,1.3009433237254033,100.0
76,90,0.05263013952952223,-0.05209354553861334,1.010300584945042,125.0
77,90,0.04704133217091379,-0.051193799815051344,0.9188872937906691,150.0
78,90,0.01927438104585386,-0.0689301674725541,0.2796218513980593,175.0
79,90,0.020210876982456317,-0.05531351615780844,0.365387673508136,200.0
80,95,0.07756473131425481,-0.032993311725766916,2.3509228767016674,100.0
81,95,0.056837384827764584,-0.03249765048109199,1.7489690481111584,125.0
82,95,0.040013879313914466,-0.0349373947115158,1.1453023227494805,150.0
83,95,0.03806349464844145,-0.034978337905475554,1.0882019251830415,175.0
84,95,0.01991421765154384,-0.03457117777083185,0.5760352679782209,200.0
