,Delta,XIRR,DD,CAR/MDD,%
60,75,0.06725885275224314,-0.08902547772665981,0.7555011719089222,100.0
61,75,0.059002916908491194,-0.07917547370342504,0.7452171000517651,125.0
62,75,0.041978899722565605,-0.10208051475586,0.4112332292109232,150.0
63,75,0.049003811220063594,-0.09640384668055435,0.5083180070857916,175.0
64,75,0.05091607056378853,-0.09938989380476271,0.5122861954536937,200.0
65,80,0.04954790596761058,-0.06409373929936613,0.7730537570320943,100.0
66,80,0.0419331545040005,-0.07889919082647445,0.5314776243551781,125.0
67,80,0.03869369500147573,-0.08178122199727855,0.47313666947607297,150.0
68,80,0.03200060777457061,-0.10462388547030022,0.30586330865770306,175.0
69,80,0.020755716372519266,-0.11789729253759418,0.17604913502064387,200.0
70,85,0.05239832428728935,-0.06013902302994023,0.8712865897605757,100.0
71,85,0.05921928274578533,-0.0570485755042881,1.0380501567709446,125.0
72,85,0.032853289431333574,-0.056272524387455,0.5838246957809778,150.0
73,85,0.03663272046797566,-0.058924384353115644,0.6216903387305173,175.0
74,85,0.019221589018606766,-0.07786568985624409,0.24685569541724642,200.0
75,90,0.037504968521525295,-0.07615609420663572,0.4924749478323085,100.0
76,90,0.034663869701322264,-0.07987971162806651,0.43395086179984127,125.0
77,90,0.029978477121496067,-0.06129217202964321,0.4891077625214088,150.0
78,90,0.01659206846362727,-0.09422697064346952,0.17608619220506797,175.0
79,90,0.011621387702265364,-0.09339037374842762,0.1244388177904795,200.0
80,95,0.07194014994900434,-0.04077071000080634,1.7645056941020048,100.0
81,95,0.05612244527948581,-0.03548876051570404,1.5814146356182601,125.0
82,95,0.04417532352778166,-0.033249504497774085,1.3286009579703364,150.0
83,95,0.028031362998874723,-0.041760728920188006,0.6712373975187913,175.0
84,95,0.021697030344404886,-0.04902453914706206,0.4425748966108362,200.0
